Mã CK,CDP,CDR,CEN,CEO,CET,CFM,CFV,CGV,CH5,CHC,CHP,CHS,CI5,CIA,CID,CIG,CII,CIP,CJC,CK8,CKA,CKD,CKG,CKV,CLC,CLH,CLL,CLM,CLW,CLX,CMC,CMD,CMF,CMG,CMI,CMK,CMM,CMN,CMP,CMS,CMT,CMV,CMW,CMX,CNA,CNC,CNG,CNN,CNT
20. Lãi suy giảm trên cổ phiếu71,773,,,,11,,3718,,,,2136,,,,,1727,850,,977,,5041,2841,,,5159,,2723,,4149,2214,32,2592,,1558,,,564,,789,194,1969,568,704,549,-358,2851,2202,,2791
LƯU CHUYỂN TIỀN TỆ GIÁN TIẾPMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Lợi nhuận trước thuế01,27207175199,1859925294,215628345,236522802656,190811627,701123860,,1700094820,6011114019,2055647673,331962474374,,533356225,5956336986,,54451944693,593460023476,63544651,,,24081135610,104560209175,154628529480,,190291997878,48504796282,124128297192,192252933002,67621259259,220213779697,,37565401011,315822705691,502375198117,-20739765539,1654757195,74413637017,29231014240,28490799950,6859778652,18780347728,14525421912,,89375550787,-1221952464,45857682237,113792352699,26725301819,167421245736
2. Điều chỉnh cho các khoản,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khấu hao TSCĐ và BĐSĐT02,14529146019,172527655,525892195,110597989911,,311470692,,1040645320,2012448192,7465011668,224349338638,,667929528,2005563115,,3107492841,983820163237,276378542,,,2743483465,13750197569,21120975090,,35390424739,15124181747,28827491698,4664027880,47062700686,44801931021,,2037446458,31804818041,459768661243,6200733509,3291759247,78746441028,4620672258,33442300202,6373996393,2297254937,9450461024,,81447767730,672789282,15861717637,46020188805,10093147016,3445032231
Các khoản dự phòng03,12271760727,,,14523472322,,1049317,,-2566755316,-191717200,3465639851,,,2070627928,-3030750000,,-560521901,71156708080,,,,1364157707,9111011384,19683174914,,2770651247,73702711,3580993812,6693492613,406197203,59590641,,2546397339,,5918976714,12299064,4508776922,20086966411,,12042531650,,146804586,-1275524039,,20086966411,,-193232904,78401234,12847091206,-2834712797
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệchưa thực hiện04",2966519100,-9073658,,-100936500,,,,-715327,,-492490226,-40591151,,-1878518,-54708819,,,,,,,-2307241,-437138095,,,607295242,,,2205237239,,1614858275,,,-4937034453,,23760,,15151010358,-57687160,-19926800,,-539509920,,,15346617492,5649524,,,-241415699,
"Lãi, lỗ từ hoạt động đầu tư05",8888288719,-102540179,-34561904,-85250560895,-1131894646,-723869986,,-3271847882,-104944043,-52447879,-6220931449,,-97261940,-4950878894,,562364264,-760320008546,-1726619,,,-23349498246,-85153993334,-435672606,,-664430274,-4726617107,-19301141523,-177392775,-6424473032,-136780320944,,-1571518777,-14546147150,-95620658362,-136213,-5645379,-22823498024,-13801430541,-1422732624,-916659700,-142113122,-1767945095,,-25724288294,-73251058,-1900912653,-1968052536,-2316422329,-24624191174
Chi phí lãi vay06,39107005426,2960644878,2183425,30662631339,722631153,,,966596000,739144664,695890764,54248785468,,189330197,,,13228844241,1398402264296,176855705,,,357519506,13761948533,22391597755,,19121439107,63575333,35965293,37452591017,6152144910,1976624035,,4560317383,4978577128,79575793432,9653845206,1883148880,97146953185,9266951,14084564075,2469960527,5334418155,9861494442,,88371144856,,,3062341000,8251298701,563166712
"Lãi, lỗ do thanh lý TSCĐ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu nhập lãi vay và cổ tức,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phân bổ lợi thế thương mại,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Điều chỉnh cho các khoản khác,,,,,,,,,,,,,,,,-34221339517,-255591495173,,,,,,,,19005000000,,,,,,,,,,,-750000000,,,,,,,,,,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động08,104969895190,4881483990,709142061,306955398833,-218451866,289773883,,-2131982385,8466045632,13137251851,604299075880,,3362103420,-74437612,,36568784621,2030927655370,515052279,,,5194490801,55592235232,217388604633,,266522377939,59039638966,137271606472,243090888976,114817829026,131886462725,,45138043414,333122919257,952017971144,-4873000213,10582796865,262721509975,20001835748,86617536453,14787075872,25877202364,30793908244,,268903758982,-616764716,59625254317,160985231202,55359000714,143970540708
"Tăng, giảm các khoản phải thu09",1367508668,29646434898,-2658036759,99344255221,4685050315,138754499,,3163689689,-3428870191,-19529910525,118478290352,,-17457476297,-13538530986,,139724545743,499548140160,-10583720369,,,-36942228414,57690139590,-85656635208,,-77140153030,4785966094,-46398973400,846521497748,1125838184,-7786968865,,7732578023,-3828281416,-128859601484,-1724981893,9482215600,-88243883666,-4062324646,1557000758,-151810006291,-87388912213,15869478556,,146927836357,-6420205846,26180137246,-173988749838,22501886974,-58113511841
"Tăng, giảm hàng tồn kho10",-26604858277,-16049529344,-3604483082,-100856679097,,,,915139547,27933267919,6798872373,2892847291,,3946129668,-975147982,,-263107620367,-88651106279,-323353476,,,15506817382,107092174414,-185283208069,,-296884489006,29033901672,-344784692,207326285067,727310785,-2600959462,,-190666112,12496425435,-130886512380,17473771961,-6624639096,-174242401294,-13394529548,-3418702872,-36698557553,93283930699,-11225348506,,-280280682485,-832196649,-3481612386,6630640666,-106951464381,-18891467294
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)11",-132978631639,-28250580768,2036088615,-302108202329,305693693,-197053543,,-257057233,7686819004,1245408902,2621689614,,5961377895,3998695354,,-75747824535,-52721801587,-7663271757,,,-3422663438,39486670024,-81279379527,,58449630355,1666453552,-1794066215,-224817448596,-34322086369,-20260256215,,2567925273,50822863973,460083193538,-2094530216,-14061881602,-51085240952,3475506601,8670217155,-30542619442,-35572860196,751997698,,-102832323101,8660588765,19135990621,164289789074,49519395188,-213031311671
"Tăng, giảm chi phí trả trước12",-248495360,26523061,-24149999,44897790325,-506647702,8651403,,-688283324,46923066,47000000,11064092235,,1633622490,1046498907,,-28986279,-52004925903,400100924,,,674028915,-3544531791,1110544319,,-57807212,992339792,-4182342749,-1907250371,-4853737768,2300420881,,340326328,4130722787,-68375716627,338120418,-2364699352,5381867374,3182298,953073775,1261269825,541946757,4461522263,,5486448756,63616662,-954484160,-1341184716,253844156,20219959894
"Tăng, giảm chứng khoán kinh doanh13",,,,,,5838333,,,,,,,,1466815,,,144544352136,,,,,,,,,,,,,,,,-313147000,,,,,,,,,,,,,,,,
Tiền lãi vay đã trả13,-39973726309,-2971216145,,-19100451856,-722631153,,,-966596000,-1323417942,-699049252,-55661484973,,-189330197,,,-78269941,-1892176247186,-274514771,,,-363479055,-13834442377,-22563508411,,-19187459794,-63575333,-32925973,-38413918471,-6506922932,-1991862805,,-4590454370,-5092938308,-79575793432,,-1913209872,-56140847556,-9266951,-14578170894,-2443989055,-5496342414,-9908765127,,-86855646124,,,-3308490549,-8251298701,-563166712
Thuế thu nhập doanh nghiệp đã nộp14,-7890011494,-361150452,-35143939,-85691256797,-118180873,-7361542,,,-1340987267,-116425478,-18375226380,,-121116582,-1147251646,,,-96949186947,,,,-1891102411,-5275356533,-33061712986,,-43264754384,-5403623467,-23672197086,-53677917038,-20293712358,-20949957424,,-8107634769,-81064760851,-70627639321,,-425073642,-2565469142,-7367835898,,-2408486731,-4221544412,-4634164818,,-10522278850,,-10633808212,-26731703144,-5290049984,-29931939961
Tiền thu khác từ hoạt động kinh doanh15,,,,,,,,,,,,,,,,280211908830,,,,,,,,,3000000,483400000,4000000,435000000,,,,,,,,,2965644965,,,,,,,2965644965,500000000,,,,
Tiền chi khác từ hoạt động kinh doanh16,-3351392998,-190822543,-394493279,-20776444513,,,,,-169074379,-1579438727,-11830970945,,,-165000000,,-101000000000,-20181670603,-140652345,,,-4664321724,-15867995397,-35353794930,,-19398674027,-12422061328,-5067812163,-10499457000,-13123014933,-12454872898,,-2156146208,-35661532198,-7310262727,,-323933250,,-3894079697,-938153001,,,-2034631756,,,-500000000,-6469810827,-19862961932,-4425910000,
Lưu chuyển tiền thuần từ hoạt động kinh doanh20,-104709712219,-13268857303,-3971076382,-77335590213,3424832414,238603033,,34910294,37870705842,-696290856,653488313074,,-2864689603,-10853707150,,16542538072,472335209161,-18070359515,,,-25908457944,221338893162,-224699090179,,-130958329159,78112439948,55782504194,968057680315,37571503635,68142005937,,40733971579,274612271679,926465638711,9119380057,-5648424349,-101208820296,-5247512093,78862801374,-207855313375,-12976579415,24073996554,,-56207241500,855038216,83401666599,106672570763,2715403966,-156340896877
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác21",-4579614786,,,-415192169898,,,,,,-49333333,-8669177655,,-325296296,-484629630,,-986411273,-411292592793,-30300000,,,-1108317211,-5834388240,-32724732690,,-89191529230,-10393252349,-21725798445,,-90370705975,-3256263274,,,-288276098922,-737673931510,,-3729168679,-79271751548,-3816684450,-12326044403,-5929674075,-7614992217,-14686064884,,-86155962394,-1137142488,-38150747951,-67272898241,-398090909,-18625058995
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác22",770229674,,262700000,2315549032,,,,,,51388889,-14626875,,,,,45454546,7174024588,,,,,431818182,277897777,,584299852,,5401581282,,210441337,719977508,,,,87400000,,,28496930150,,,,95000000,285454545,,29322316782,,,,45454545,685240909
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác23",,-3000000000,,-937620317538,-18000000000,,,,,,-20125000000,,-794839,-76000000000,,,-3521137830314,-1280000000,,,,-90000000000,,,,-29500000000,-275000000000,,-327844038500,-226790000000,,-10000000000,-118400000000,-2770062982484,,,-108090767123,-326445300418,-33000000000,-4000000000,,-5000000000,,-116534767123,,-58452326317,-45288000000,-41688055377,-922000000000
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác24",,3000000000,,1485000000000,,,,,,,30000000000,,304000000,111000000000,,210000000,2015442284749,,,,34300000000,90650984942,3000000000,,,,175000000000,,324110087039,191540000000,,40104000000,104854414050,2618331306888,,,15920767123,283787450418,18000000000,8316618530,,5000000000,,46594767123,,,74288000000,37759640925,1325700000000
5. Tiền chi đầu tư góp vốn vào đơn vị khác25,,,,,,-3000000000,,,,,,,,,,,-415950952316,,,,,,,,-6000000000,,,,,,,,,,,,,,,,,,,-420000000,,,,,-7647550000
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác26,,,,6771241950,15600000000,3531000000,,,,,,,,,,,4928478849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia27",29805324,101536600,1983914,87275477139,75565879,260183986,,3271847882,101437194,1058990,6113044625,,97261940,8656709316,,1272098,262560278417,1726619,,,11971778045,91028768408,833688832,,80130422,3758440653,12117132614,177392775,9089548410,51982467149,,1571518777,17851961600,98083285105,136213,5645379,510340917,13848184886,1309922122,2029794370,47113122,654791195,,3456050870,82240236,1709051176,1642368832,2270967784,29203983450
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,,,,,,,,,,,,,,,,,,,1418000000,,,,,,,,,,,,,,,,,,,,,,,,,,
11. Tiền chi khác cho hoat động đầu tư,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư30,-3779579788,101536600,264683914,228549780685,-2324434121,791183986,,3271847882,101437194,3114546,7304240095,,75170805,43172079686,,-729684629,-2058276308820,-1308573381,,,45163460834,86277183292,-27195146081,,-94527098956,-36134811696,-104207084549,177392775,-84804667689,14196181383,,31675518777,-283969723272,-791234922001,136213,-3723523300,-142434480481,-32626349564,-26016122281,416738825,-7472879095,-13745819144,,-123737594742,-1054902252,-94894023092,-36630529409,-2010083032,407316615364
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu31",,,,,,,,,,,,,,,,800000000,13136200000,,,,,,,,,,,,,,,,,4553000000,,,33771777778,,,,,,,,,,,,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-806000000,,,,,,,,,,,,,,,
3. Tiền thu từ đi vay33,2612693397228,94091662986,966000000,519351641617,14969000000,,,,73213108315,96608835530,,,3550000000,,,54995854000,9222327120289,10500000000,,,29724409755,790174054146,1702862338220,,2207682070000,,2719000000,11675283890492,13822228320,,,125510450405,738205339149,3340167126148,10916099997,167984476728,4389133292036,5140624407,,209680316472,413183225023,1961891097087,,4424063174518,,,19461802500,36377580518,18980910036
4. Tiền chi trả nợ gốc vay34,-2523499978980,-73324055391,,-819377004343,-26533806959,,,-3360000000,-94251774760,-92663927781,-208796267384,,-50000000,,,-69933472459,-6991008517095,-1951808387,,,-34005383885,-715072582665,-1446299223309,,-1873012793413,-5000000000,,-12600708948217,-17019235004,-12208523340,,-155514282408,-662442917942,-3143276405568,-20833099997,-161046403059,-3996071802334,-5140624407,-19540000000,-50956679246,-389763763418,-1989517952566,,-4049801730661,,,-23991000000,-52227116346,-1569115000
5. Tiền trả nợ gốc thuê tài chính35,,,,,,,,,,,,,-247999992,,,,,,,,,,,,,,,,,,,,,,,,-64353296347,,,,,,,-64353296347,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu 36",-9021075311,-1030588700,,-11310000000,,-368840000,,,-4105695000,-2129900,-367383066257,,,-897750,,,-507415057323,,,,-16432020000,-58900000000,-632707200,,-104830332000,-18896919600,-89711289900,-32857779300,-20711561525,-60607527750,,-33470161100,-39913660500,-64574671648,,,,-12519544772,-7466351025,,-7273030000,-7292287440,,,,-22417808800,-42119157600,-10691999994,-3991506902
7. Tiền thu khác từ hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính40,80172342937,19737018895,966000000,-311335362726,-11564806959,-368840000,,-3360000000,-25144361445,3942777849,-576179333641,,3252000008,-897750,,-14137618459,1737039745871,8548191613,,,-20712994130,16201471481,255930407711,,229838944587,-23896919600,-86992289900,-958282837025,-23908568209,-72816051090,,-63473993103,35848760707,136063048932,-9917000000,6938073669,362479971133,-12519544772,-27006351025,158723637226,16146431605,-34919142919,,309908147510,,-22417808800,-46648355100,-26541535822,13420288134
Lưu chuyển tiền thuần trong kỳ50,-28316949070,6569698192,-2740392468,-160121172254,-10464408666,660947019,,-53241824,12827781591,3249601539,84613219528,,462481210,32317474786,,1675234984,151098646212,-10830741283,,,-1457991240,323817547935,4036171451,,4353516472,18080708652,-135416870255,9952236065,-71141732263,9522136230,,8935497253,26491309114,271293765642,-797483730,-2433873980,118836670356,-50393406429,25840328068,-48714937324,-4303026905,-24590965509,,129963311268,-199864036,-33910165293,23393686254,-25836214888,264396006621
Tiền và tương đương tiền đầu kỳ60,50493258886,19661361535,7033740350,1153356865428,10526158207,2796548556,,7083770495,6969744335,1230325829,113250882968,,866173039,5895056412,,537628358,1200711815688,11089629825,,,13500093493,72897611235,40878437559,,27684777127,97621552925,234879103936,170008343066,76984321689,52900067114,,22682367949,162857024948,510579888457,941896851,5392447539,11439826243,80457775953,41415070887,57152714623,31442880361,57293717007,,32030449594,5060792693,58142878337,317304636477,113794474939,38740717045
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ61,-258277421,205065559,,104858874,,,,715327,,3810390,40591151,,1878518,52698674,,,,,,,2307241,437138095,,,1112848,,,-234955945,,,,,3517986757,,-23760,,4212566771,59480912,19926800,,92546328,,,4157083226,-9611867,,,241415699,
Tiền và tương đương tiền cuối kỳ (70 = 50 +60 + 61)70,21918032395,26436125286,4293347882,993340552048,61749541,3457495575,,7031243998,19797525926,4483737758,197904693647,,1330532767,38265229872,,2212863342,1351810461900,258888542,,,12044409494,397152297265,44914609010,,32039406447,115702261577,99462233681,179725623186,5842589426,62422203344,,31617865202,192866320819,781873654099,144389361,2958573559,134489063370,30123850436,67275325755,8437777299,27232399784,32702751498,,166150844088,4851316790,24232713044,340698322731,88199675750,303136723666
LƯU CHUYỂN TIỀN TỆ TRỰC TIẾPMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. Tiền thu từ bán hàng, cung cấp dịch vụ và doanh thu khác01",,,,,,,315277923381,,,,,636201182674,,,5269654147,,,,432269552585,12448720797,,,,473689653705,,,,,,,72397841765,,,,,,,,,,,,169435451506,,,,,,
2. Tiền chi trả cho người cung cấp hàng hoá và dịch vụ02,,,,,,,-134898021826,,,,,-481261986033,,,-818855262,,,,-379616703137,-5539087542,,,,-156041276093,,,,,,,-84029814754,,,,,,,,,,,,-68698045150,,,,,,
3. Tiền chi trả cho người lao động03,,,,,,,-5825516781,,,,,-129836055026,,,-1106340000,,,,-40529438079,-1522706589,,,,-189335615655,,,,,,,-1599595416,,,,,,,,,,,,-31646842702,,,,,,
4. Tiền chi trả lãi vay04,,,,,,,-1420210915,,,,,,,,,,,,-4684351996,-262471850,,,,-111566660,,,,,,,-3897846004,,,,,,,,,,,,-2165599792,,,,,,
5. Tiền chi nộp thuế thu nhập doanh nghiệp05,,,,,,,-4933083513,,,,,-14472000000,,,-446855844,,,,,15791164280,,,,-947863589,,,,,,,-195863809,,,,,,,,,,,,-1724410685,,,,,,
6. Tiền thu khác từ hoạt động kinh doanh06,,,,,,,20101321572,,,,,10215457688,,,31402823,,,,63902469271,,,,,207248535963,,,,,,,4419176696,,,,,,,,,,,,3273589143,,,,,,
7. Tiền chi khác cho hoạt động kinh doanh07,,,,,,,-16973378457,,,,,-54629493289,,,-1052674031,,,,-41340936259,-16823611900,,,,-354151365012,,,,,,,-7125147353,,,,,,,,,,,,-88747755238,,,,,,
Lưu chuyển tiền thuần từ hoạt động kinh doanh20,,,,,,,171329033461,,,,,-33782893986,,,1876331833,,,,30000592385,4092007196,,,,-19649497341,,,,,,,-20031248875,,,,,,,,,,,,-20273612918,,,,,,
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác21",,,,,,,-3705097374,,,,,-128900000,,,-2841038241,,,,-5768734948,,,,,-7018381794,,,,,,,,,,,,,,,,,,,-11093970096,,,,,,
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác23",,,,,,,-88500000000,,,,,,,,-6700000000,,,,,-8100000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác24",,,,,,,26000000000,,,,,70000000000,,,7850000000,,,,4055590181,2300000000,,,,13200000000,,,,,,,,,,,,,,,,,,,,,,,,,
5. Tiền chi đầu tư góp vốn vào đơn vị khác25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5095980000,,,,,,,,,,,,,,,,,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2098700000,,,,,,,,,,,,,,,,,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia27",,,,,,,3261388853,,,,,8469389980,,,564674534,,,,228411420,431065797,,,,226395349,,,,,,,2044117539,,,,,,,,,,,,31000000,,,,,,
8. Tiền thu khác từ hoạt động đầu tư,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9. Tiền chi khác cho hoat động đầu tư,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư30,,,,,,,-62943708521,,,,,78340489980,,,-1126363707,,,,-1484733347,-5368934203,,,,6408013555,,,,,,,-953162461,,,,,,,,,,,,-11062970096,,,,,,
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Tiền thu từ đi vay33,,,,,,,125847363889,,,,,,,,,,,,286731129425,,,,,15830587863,,,,,,,92555787116,,,,,,,,,,,,61054635903,,,,,,
4. Tiền chi trả nợ gốc vay34,,,,,,,-228346451389,,,,,,,,,,,,-303355600411,-1110000000,,,,-4964949264,,,,,,,-70840872446,,,,,,,,,,,,-42180514586,,,,,,
5. Tiền trả nợ gốc thuê tài chính35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu36",,,,,,,,,,,,-27035635040,,,-606121913,,,,,,,,,-4275683821,,,,,,,,,,,,,,,,,,,-8062638607,,,,,,
7. Tiền thu khác từ hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính40,,,,,,,-102499087500,,,,,-27035635040,,,-606121913,,,,-16624470986,-1110000000,,,,6589954778,,,,,,,21714914670,,,,,,,,,,,,10811482710,,,,,,
Lưu chuyển tiền thuần trong kỳ (50=20+30+40)50,,,,,,,5886237440,,,,,17521960954,,,143846213,,,,11891388052,-2386927007,,,,-6651529008,,,,,,,730503334,,,,,,,,,,,,-20525100304,,,,,,
Tiền và tương đương tiền đầu kỳ60,,,,,,,656615343,,,,,192119012169,,,126539645,,,,18325247799,2752191894,,,,37008866555,,,,,,,436044365,,,,,,,,,,,,21985585197,,,,,,
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ61,,,,,,,,,,,,,,,,,,,-49734733,,,,,42350020,,,,,,,,,,,,,,,,,,,,,,,,,
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61)70,,,,,,,6542852783,,,,,209640973123,,,270385858,,,,30166901118,365264887,,,,30399687567,,,,,,,1166547699,,,,,,,,,,,,1460484893,,,,,,
Kỳ/năm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
