Mã CK,SZE,SZG,SZL,TA6,TA9,TAB,TAL,TAN,TAR,TAW,TB8,TBC,TBD,TBR,TBW,TBX,TCD,TCH,TCJ,TCK,TCL,TCM,TCO,TCR,TCT,TCW,TDB,TDC,TDF,TDG,TDH,TDM,TDP,TDS,TDT,TDW,TED,TEG,TEL,TET,TFC,TGG,TGP,TH1,THB,THD
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệchưa thực hiện04",,,-275858,,,,,,788112618,,,-1046980647,1557193256,,236920589,,10360493204,4142436904,,,-81021,-3443520103,,-899524525,,25826327,,,,,,9168000000,1031610881,-110886542,-1507853446,,-595342621,2739999010,,,649028935,,-2897503,12666381164,,-74736
"Lãi, lỗ từ hoạt động đầu tư05",-4918166987,-23067685935,-24939803496,-264009069,-4914221096,-244946244,-922124186650,-526068775,-14265783646,-1763839598,-4986467,-6394886811,-1827351435,-4059453619,-1934193903,,-46554709389,-70766948138,,-20815002074,-19077596101,-38554979742,-12267211554,-1206938195,-21352906822,-7865135221,,-137751576361,,-4189720785,-3213364498,-26933342162,-41667859616,-2861052004,-301381979,-102311904,-7008259217,-43413436629,-14577106,,-26926318927,-1127957213,-3812880403,-24211232747,-1907090280,-91796772371
Chi phí lãi vay06,2262016000,1175109492,3907094318,,13545877342,968599316,171884526348,309120812,128880902122,,1364942394,5183835617,27525674895,24397260,175141752,,205456093873,,,14275774546,503814945,24884411885,47449212434,22527479218,,1421775223,,163549019316,,30075766122,,9325942209,183334776938,130781,18537003192,1629856032,718952840,5526620967,370571932,,16401899683,5627588015,4460575463,10846709032,22630137,
"Lãi, lỗ do thanh lý TSCĐ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu nhập lãi vay và cổ tức,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phân bổ lợi thế thương mại,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Điều chỉnh cho các khoản khác,,,,,,,,,,,,,,,,,200630000,,,,,,,,,,,5969333269,,,,,,,,,,,,,,,,,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động08,70398696818,288981599347,182478603276,1799840442,68211753033,8449147755,200275312491,6392506690,119240116731,13516232119,7640456758,351232203287,246847326077,-6236392673,55371407292,,339855304573,1471417856214,,14530977096,188174149804,462873061473,99530933047,-4125978977,-5893472394,163580937810,,483847991642,,33524967625,30912173452,384716803834,335240785089,2267059550,63669812603,143905286088,120177485227,-19017993327,899304389,,183434669538,-102683000458,23726840665,27680461037,14107212679,-6455514094
"Tăng, giảm các khoản phải thu09",20107270261,413134528533,-22965471643,-5998702684,176381473267,28432051314,89461413631,3204973069,-638084638681,21893777910,-284808449,70377376636,-182048276200,1594888635,-550994767,,-164611018039,-407430445799,,14983176055,-193054779954,-271396037585,-144697784625,-43180500238,-385431390,-88038416862,,-807052522868,,-74258444887,343314979220,255594029332,-94486501321,-44685506273,25125576420,-4501608676,-33565201291,11174132686,-21876714149,,9751149094,172422734314,76530302838,39512304267,45666932981,3209788045
"Tăng, giảm hàng tồn kho10",-47734549877,16286773881,-1004152914,17854000761,-257024287553,-1748124408,-497154472089,308184761,819802960105,-2867198056,5173921768,-1712641165,-189589200543,-10987479391,-2087586824,,-99399546332,1433319724838,,61933415158,-179569077,21196016836,-14513260229,6011197950,-1888702566,-32371495,,119576985443,,28313419711,5053232454,-75196797581,163842271323,15977612993,-24975822576,-8529721316,-6683318949,-1406712456,3994659653,,-31426076119,58792168922,33247144689,-19221183479,-5954020831,-778690434
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)11",13918243914,393552414542,43064854601,26029048087,-233968923869,-9569370775,-1210854308188,1936617732,-66951065913,-16531393131,-7881530964,6793476423,253596956307,1598647486,1192649601,,-24878659351,-574582385157,,-20641656397,102515547402,283075200790,270641216373,32668308683,-21481809419,44973437199,,436216530466,,44983930997,-343510123212,-5306714539,-22919429101,27513021383,-2482961904,73884609617,38074764743,60068532883,9405211662,,47239049194,-142253738760,-22625711648,-54677132762,-34288765457,40750453105
"Tăng, giảm chi phí trả trước12",1854321921,8189852331,-1069337940,106995643,-1882271773,453521875,22983913589,-1072997745,-317694709,167716764,-67578675,-271618215,-5069101327,-220298881,-1380409143,,-5030578869,31979989338,,-9101151478,-2512579846,1708307273,261866548,7874402924,-717841222,-2179762587,,-12544312329,,-38296153478,932234905,2289998437,-82830333,2449566154,790898748,-2583029624,4725745335,-189576055,217852567,,-1440361333,833599787,-1059980578,4206011204,4954015226,17426837533
"Tăng, giảm chứng khoán kinh doanh13",,,,,,6174247500,,,,,,6964156500,,,,,1126109,,,,,,,,,,,,,,684100000,,,,,,,,,,,,,,,
Tiền lãi vay đã trả13,-2382183000,-1385587368,-3988541318,-4159941374,-13545877342,-974674658,-313816204444,-284732165,-129136958358,,-1375147023,-5780937865,-27656883015,-24397260,-175141752,,-204212605202,,,-10369580793,-480930774,-24105744724,-48001611872,-22215043474,,-1437231188,,-159705031073,,-29167166589,,-9550432072,-181957824721,-130781,-18933954591,-1612971214,-640658089,-2730161839,-182698865,,-15673349680,-5662517700,-7132859018,-8058638509,-22630137,
Thuế thu nhập doanh nghiệp đã nộp14,-9165200715,-43946104884,-20156110190,-186084454,-9087592365,-682733328,-80001750988,-42081983,-8617320751,-3164921199,,-39085009620,-28865363770,-178376802,-8111359822,,-61580908366,-339464195992,,-3824885802,-31904122003,-69865745609,-3336081186,,-4650845441,-30248152249,,-32874404268,,-367301267,-646369709,-18882901405,-26757161154,-1263511425,-2172826296,-15501175917,-26819623343,-34540180038,,,-20232360765,,-3643433988,-5284575389,-2887439853,-26274128175
Tiền thu khác từ hoạt động kinh doanh15,180500000,,106700000,,,,,256037623,,10700000,,,12987000000,,,,6860000,,,,70480000,,,,,9000000,,,,,,,,,,709778502,,,,,,,,,415855640,
Tiền chi khác từ hoạt động kinh doanh16,-2036556669,-4207577265,-12792159190,-24300000,-4678941061,,-5899000000,-756380776,,-1804396550,-819226600,-4513717400,-7982962494,-1802362821,-5460773125,,-27462935709,,,-302851226,-23417259618,-11873591843,,,-30000000,-50255890169,,-1863523252,,,-287386800,-10690909333,,-1733058947,-815050000,-18697050472,-19098378788,,,,-624200000,,-724560962,,-2774355640,-896894600
Lưu chuyển tiền thuần từ hoạt động kinh doanh20,45140542653,1070605899117,163674384682,35420856421,-275594667663,30534065275,-1795005095998,9942127206,95935398424,11220517857,2386086815,384003288581,72219495035,-16255771707,38797791460,,-247312961186,1615240543442,,47207442613,39210935934,391611466611,159885278056,-22967613132,-35048102432,36371550459,,25601713761,,-35266747888,36452840310,522973076673,172879309782,525052654,40205672404,167074116988,76170814845,13358041854,-7542384743,,171028519929,-18550753895,98317741998,-15842753631,19216804608,26981851380
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác21",-8883397303,-33934099944,-140135255068,,-84736601041,,-790972296109,-8734098381,-4053911054,-1957112467,,-139351898888,-76852789017,-306804816,-18278258549,,-913338734,-151001671407,,-44014397417,-7388415498,-237180366398,-34322714885,-93318952480,-1032779184,-20350011078,,-45946800145,,-88523662339,-91818182,-242775163188,-23056469041,,-12503028410,-179790831031,-14899788399,-156221541487,,,-7666496556,-1492473378,-2811372075,,-4051626795,
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác22",,,163125455,,,637037037,91860786,676634000,,994748945,,914152313,425389440,20354546,,,7844688776,5179675589,,485285365,,81562270492,8668000000,777078000,,-774318,,6438783712,,,,,8837590404,,,,374000000,85576082,,,1311999998,22170000000,17500000,,,2000000000
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác23",-65000000000,-260900000000,-26000000000,,,,-155477000000,,,-35000000000,,-71800000000,-49000000000,-97100000000,-51800000000,,-16000000000,-5227173249055,,-2543233624,-85000000000,-218715266301,-219969809009,,-335940000000,-302000000000,,,,,,-116900000000,-355906960691,,,-26622740,-20500000000,-283061147400,-4000000000,,-76994940463,,-16000000000,-485471333684,-87426615558,-1498200000000
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác24",71000000000,130900000000,76000000000,,9000000000,,799810720000,,149500000000,35000000000,,68500000000,39000000000,107207375343,35600000000,,106709589,4239736529590,,,78697720548,,218002000000,,337567328771,276500000000,,3500000000,,6100000000,,,356758781832,,,1476622740,15997910000,157115431600,4500000000,,69842485916,,,250741541731,58664412358,168000000000
5. Tiền chi đầu tư góp vốn vào đơn vị khác25,,,-120960000000,,,-24936000000,-16827581757,,,,,-19208490000,,,,,-20000000000,,,,,,-563583053813,,,-3600000000,,,,,,-300094246504,-30000000000,,,,,-469169580000,,,,-2678000000,,,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác26,,,,,,,2217077531798,,,,,,,,,,136791167500,,,29155497425,,,,,,,,,,,,,,,,,,144064775000,,,,1127957213,,,,1285200000000
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia27",4935175208,19952381828,25712568534,264009069,5292960820,1616527,99671388695,1366466,3197305709,1321850998,4986467,7784580847,1401961995,4137258249,2610772151,,11222454031,113161236500,,378232535,11622898985,22379869284,10270740719,429860195,40815013311,8050178083,,4299430207,,2545065625,3240121108,27550189826,41944842147,3091973920,8424279,170700398,6438274344,7396803009,14577106,,3159079545,,3536602321,19018228046,1798049836,13748498001
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11. Tiền chi khác cho hoat động đầu tư,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư30,2051777905,-143981718116,-185219561079,264009069,-70443640221,-24297346436,2153374623413,-8056097915,148643394655,359487476,4986467,-153161655728,-85025437582,13958183322,-31867486398,,119051681162,-1020097478783,,-16538615716,-2067795965,-351953492923,-580934836988,-92112014285,41409562898,-41400607313,,-31708586226,,-79878596714,3148302926,-632219219866,-1422215349,3091973920,-12494604131,-178170130633,-12589604055,-599789683196,514577106,,-10347871560,19127483835,-15257269754,-215711563907,-31015780159,-29251501999
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu31",,,,,,,642590000,,,,,,,,,,,,,,,,,,,,,2850000000,,,,299846338889,69914923889,,,,,480206950000,,,,165000000,,,,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành32",,,,,,,-14148006023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Tiền thu từ đi vay33,,,35898340997,75087473492,707842567632,,2018702251873,6472228767,3201927417541,,186336448726,10100000000,1925563554815,5000000000,,,1421456090599,321265892155,,187550205797,25000000000,2111921164347,1551018500000,887657404165,,,,1060884924532,,1028393984182,,480985620379,4407739763982,1060778400,578537448483,29844444386,26894519560,220463135068,13419567322,,660739033623,417921052523,197188956061,532135353021,10000000000,
4. Tiền chi trả nợ gốc vay34,-26580000000,-248904064286,-81894400080,-84085048209,-753237930478,-2499999996,-1736426238951,-5332228767,-3447545050504,,-192159960366,-60000000000,-1878600972631,-5000000000,-3086000000,,-1497499140529,-50998609509,,-224735350968,-7249712000,-2019921937565,-1104500336000,-797829232690,,-15879325300,,-1056221091813,,-874700131519,,-377666267350,-4267658692936,-1060778400,-552458767529,-12864724000,-24363774629,-136216240118,-5849400614,,-627628846587,-419473217180,-274596657645,-301925838854,-10000000000,
5. Tiền trả nợ gốc thuê tài chính35,,,,,,,,,-4174174320,,,,,,,,-6113280916,,,,,-3094463572,,,,,,,,-360054336,,,-15991567251,,-7851304501,,,,,,-2229328520,-1400000000,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu 36",-24000000000,-70637960000,-54692644000,,-14991369080,,-456462525041,-2066532743,-7203000000,-5250000000,-2000000000,-214914116400,-34428337250,-2713644000,-13573680000,,-10606668155,-82687571444,,,-70445564305,-737065500,-91132300,,-6394000000,-49640851130,,-974244000,,,-357000,-140000000000,,-85281510150,,-28869414750,-49032511551,,,,-21182073800,,-77551575,,-3943431765,
7. Tiền thu khác từ hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính40,-50580000000,-319542024286,-100688703083,-8997574717,-60386731926,-2499999996,-187691928142,-926532743,-256994807283,-5250000000,-7823511640,-264814116400,12534244934,-2713644000,-16659680000,,-92762999001,187579711202,,-37185145171,-52695276305,88167697710,446427031700,89828171475,-6394000000,-65520176430,,6539588719,,153333798327,-357000,263165691918,194004427684,-85281510150,18227376453,-11889694364,-46501766620,564453844950,7570166708,,9698784716,-2787164657,-77485253159,230209514167,-3943431765,
Lưu chuyển tiền thuần trong kỳ50,-3387679442,607082156715,-122233879480,26687290773,-406425039810,3736718843,170677599273,959496548,-12416014204,6330005333,-5432438358,-33972483547,-271697613,-5011232385,-9729374938,,-221024279025,782722775861,,-6516318274,-15552136336,127825671398,25377472768,-25251455942,-32539534,-70549233284,,432716254,,38188453725,39600786236,153919548725,365461522117,-81664483576,45938444726,-22985708009,17079444170,-21977796392,542359071,,170379433085,-2210434717,5575219085,-1344803371,-15742407316,-2269650619
Tiền và tương đương tiền đầu kỳ60,52597888860,41173270652,173648046494,41141552173,632810405642,1127981458,289029511028,169921931,14041090110,46178628779,6460623006,128305931825,8812382501,7149222957,69943807501,,300301753507,485789157952,,16511359595,71071180963,434896282731,3732860044,64937405261,2265003393,151338088714,,14069518738,,12585624203,12332308213,110009086373,260494385895,122727069626,17713662591,92529437964,155213660196,24921626131,3702594817,,42395187091,8632081655,18587408583,5947417197,60252117508,70560185038
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ61,,,-102359036,,,,,,781297,,,,-30071691,,,,-9606773,-377912430,,,81021,558163318,,44049788,,8719681,,,,,,,44593781,8959528,2536545231,,595342621,,,,914738310,,2897503,-474312772,,74736
Tiền và tương đương tiền cuối kỳ (70 = 50 +60 + 61)70,49210209418,648255427367,51311807978,67828842946,226385365832,4864700301,459707110301,1129418479,1625857203,52508634112,1028184648,94333448278,8510613197,2137990572,60214432563,,79267867709,1268134021383,,9995041321,55519125648,563280117447,29110332812,39729999107,2232463859,80797575111,,14502234992,,50774077928,51933094449,263928635098,626000501793,41071545578,66188652548,69543729955,172888446987,2943829739,4244953888,,213689358486,6421646938,24165525171,4128301054,44509710192,68290609155
LƯU CHUYỂN TIỀN TỆ TRỰC TIẾPMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. Tiền thu từ bán hàng, cung cấp dịch vụ và doanh thu khác01",,,,,,,,,,,,,,,,17890543562,,,11993850191,,,,,,,,71773167287,,512319787329,,,,,,,,,,,25738255112,,,,,,
2. Tiền chi trả cho người cung cấp hàng hoá và dịch vụ02,,,,,,,,,,,,,,,,-7182924129,,,-4919883454,,,,,,,,-21177858147,,-279838248006,,,,,,,,,,,-3708059982,,,,,,
3. Tiền chi trả cho người lao động03,,,,,,,,,,,,,,,,-6146507554,,,-2689680220,,,,,,,,-5301976611,,-52254502561,,,,,,,,,,,-7422816440,,,,,,
4. Tiền chi trả lãi vay04,,,,,,,,,,,,,,,,-10340750,,,-856986,,,,,,,,,,-43955243404,,,,,,,,,,,,,,,,,
5. Tiền chi nộp thuế thu nhập doanh nghiệp05,,,,,,,,,,,,,,,,,,,,,,,,,,,-7318466623,,-8680876108,,,,,,,,,,,-2083055305,,,,,,
6. Tiền thu khác từ hoạt động kinh doanh06,,,,,,,,,,,,,,,,799629147,,,488333719,,,,,,,,9862315605,,5797957156,,,,,,,,,,,1056619536,,,,,,
7. Tiền chi khác cho hoạt động kinh doanh07,,,,,,,,,,,,,,,,-2863676572,,,-5138479723,,,,,,,,-9209126158,,-30405344364,,,,,,,,,,,-12239903753,,,,,,
Lưu chuyển tiền thuần từ hoạt động kinh doanh20,,,,,,,,,,,,,,,,2486723704,,,-266716473,,,,,,,,38628055353,,102983530042,,,,,,,,,,,1341039168,,,,,,
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác21",,,,,,,,,,,,,,,,,,,-361472222,,,,,,,,-460944000,,-28585520464,,,,,,,,,,,,,,,,,
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác22",,,,,,,,,,,,,,,,,,,444621096,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác23",,,,,,,,,,,,,,,,,,,,,,,,,,,-73561000000,,-1000000000,,,,,,,,,,,-55000000000,,,,,,
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác24",,,,,,,,,,,,,,,,,,,,,,,,,,,55580000000,,8472313886,,,,,,,,,,,55000000000,,,,,,
5. Tiền chi đầu tư góp vốn vào đơn vị khác25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia27",,,,,,,,,,,,,,,,265031,,,175947,,,,,,,,3147201598,,71193323,,,,,,,,,,,7134415865,,,,,,
8. Tiền thu khác từ hoạt động đầu tư,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9. Tiền chi khác cho hoat động đầu tư,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư30,,,,,,,,,,,,,,,,265031,,,83324821,,,,,,,,-15294742402,,-21042013255,,,,,,,,,,,7134415865,,,,,,
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Tiền thu từ đi vay33,,,,,,,,,,,,,,,,2600000000,,,300000000,,,,,,,,,,500618508901,,,,,,,,,,,,,,,,,
4. Tiền chi trả nợ gốc vay34,,,,,,,,,,,,,,,,-2600000000,,,-200000000,,,,,,,,,,-560580371318,,,,,,,,,,,,,,,,,
5. Tiền trả nợ gốc thuê tài chính35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu36",,,,,,,,,,,,,,,,,,,,,,,,,,,-20588517455,,-25321855905,,,,,,,,,,,-4562689900,,,,,,
7. Tiền thu khác từ hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính40,,,,,,,,,,,,,,,,,,,100000000,,,,,,,,-20588517455,,-85283718322,,,,,,,,,,,-4562689900,,,,,,
Lưu chuyển tiền thuần trong kỳ (50=20+30+40)50,,,,,,,,,,,,,,,,2486988735,,,-83391652,,,,,,,,2744795496,,-3342201535,,,,,,,,,,,3912765133,,,,,,
Tiền và tương đương tiền đầu kỳ60,,,,,,,,,,,,,,,,219580829,,,435544562,,,,,,,,7163331454,,13232983266,,,,,,,,,,,76243284987,,,,,,
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ61,,,,,,,,,,,,,,,,,,,275383,,,,,,,,,,,,,,,,,,,,,1439145,,,,,,
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61)70,,,,,,,,,,,,,,,,2706569564,,,352428293,,,,,,,,9908126950,,9890781731,,,,,,,,,,,80157489265,,,,,,
Kỳ/năm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
