Mã CK,ICF,ICG,ICI,ICN,ICT,IDC,IDI,IDJ,IDP,IDV,IFS,IHK,IJC,ILA,ILB,ILC,ILS,IME,IMP,IN4,INC,ING,INN,IPA,IRC,ISG,ISH,IST,ITA,ITC,ITD,ITQ,ITS,JOS,JVC,KBC,KCB,KCE,KDC,KDH,KDM,KGM,KHD,KHG,KHP,KHS,KHW
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1. Lợi nhuận trước thuế01,278633145,486504238,787896133,303597541875,37182705522,2993266488689,108167011746,120878698039,1108404124001,153596017526,220620354000,,414891145806,-1810898863,128940103258,12124543522,17716601401,,404192934555,12770579360,798394014,,135201864548,517378409844,16690170364,,94378389527,82210455703,139922769561,68655135672,88999427810,,10342260927,-39515094784,58865008889,722526717522,11946402532,3580140394,104801152547,1051048716000,,15258069417,8565430543,70122651265,71323561766,17084833728,97982775572
2. Điều chỉnh cho các khoản,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khấu hao TSCĐ và BĐSĐT02,1926312482,4278405482,301835814,20251327337,15212150003,1352661655523,140987062410,6584934590,193857827326,17710902323,10428385000,,66252231373,3553712742,74174675065,48194442,6921425904,,105636226909,3141513934,412128346,,105237393070,80608849056,1772799809,,32108016175,34454876668,38429024578,65064184087,7008810899,,1034579620,36418580,35302084719,165079687237,3100105472,1672364290,309791899331,13552292000,,15160067909,1444424669,545019825,222277021906,27217384460,80226210911
Các khoản dự phòng03,-3824796790,3084622816,360000000,-698344400,813527364,100700916672,-117730845,,123181294,615557800,3251575000,,849201797,2379419007,-11702602606,224849156,1556183964,,1554901386,,-514088505,,-2338125818,41722107378,-6385780233,,-2013059477,-3263507306,-152429397104,,-18926049483,,-27184969,13376723,7797098609,-23387042393,813320909,-89942920,3390159255,587852000,,-18270180700,,,-373858117,2239214722,
"Lãi, lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệchưa thực hiện04",-251472817,,,-92482982,-9103015580,-91523594,3066651369,,-469347500,-133307,-568473000,,-45539444,,-3843428779,246365288,243675506,,-38760777,,,,,,,,1860127,-2357310,,,187210354,,947486256,5102617543,-509484551,,,,13262566,,,6651392244,,,1601765313,1401645739,
"Lãi, lỗ từ hoạt động đầu tư05",-27741077,-5389819456,-955384292,-21586761262,-11951091050,-173373027811,-139770090096,-6094653981,-145967108968,-32990594012,-23406674000,,-131504565872,-1399752517,-3297111694,-10023768373,-2677081387,,-8759334517,-835054093,-18671327,,-8429835835,-650797875860,-27426748460,,-1073972600,-4375861975,110367831218,-201365406,-2336081347,,-59628761060,-717087360,-24511866513,-485128975544,-1364970597,-247668856,-294472001404,-38189200000,,-149161036,-944118419,-252527065396,-22068288261,-36410542,-4776138703
Chi phí lãi vay06,1101681310,1907657261,293719033,2493365165,12018315906,130327583405,309079691970,15629130065,42773856549,1067712678,,,45352507564,7031998380,20128061437,,3931227285,,3489360216,,19721113,,1899818422,373115384244,,,845930091,2379674332,-18628898730,76936267364,3860336902,,85422597607,24771983216,5437218352,275444043557,12130137,,133285823793,,,60402468567,,133834374116,59769183440,11796922256,4004994014
"Lãi, lỗ do thanh lý TSCĐ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thu nhập lãi vay và cổ tức,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phân bổ lợi thế thương mại,,,,,,,,,,,,,,,,87226970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Điều chỉnh cho các khoản khác,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9406658979,,,,,,,,,,,,,,1541108000,,
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động08,-797383747,4367370341,788066688,303964645733,44172592165,4403492092884,421412596554,136998108713,1198722532702,139999463008,210325167000,,395794981224,9754478749,204399696681,2707411005,27692032673,,506075327772,15077039201,697483641,,231571114387,362026874662,-15349558520,,124247163843,111403280112,117661329523,210454221717,88200314114,,38090978381,-10307786082,82380059505,654534430379,14506988453,4914892908,256810296088,1026999660000,,79052656401,9065736793,-48025020190,334070494047,59703590363,177437841794
"Tăng, giảm các khoản phải thu09",4474373602,-1656131603,1882955744,-1303964395,303626502034,212114021627,-534027128105,108145621367,-37981405177,-115125414913,-2253944000,,113063505679,19018434778,45785980764,11624264134,-50214791103,,-83306984898,-646082258,1234456210,,-137270400667,809980657180,136838720,,28955398547,4019349811,-561328516344,-23757226660,-200889880747,,-272572360262,1842707381,65610146099,-1357631695417,14324897921,-360488679,585414249182,-624421551000,,-82018938652,783752541,-42622258730,-15858967896,11903817643,2804710944
"Tăng, giảm hàng tồn kho10",4501046397,-6453082089,3075505088,78692550976,-10276310953,-113428058121,347436709856,272512427978,-207200288237,17194098582,25895255000,,-1196715936595,18289053519,,-751518989,-962262717,,-6180988401,-436362757,478199580,,-91467134289,-9200029120,6125726420,,234295945,,-199821769620,-31227728874,-7457214363,,-51791218965,9307042574,-95953410572,-1630909836094,-2707458750,1290570469,-198961269003,-3494074506000,,-9699474162,-80988021,84416801757,9631682204,-18965972511,2631445123
"Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập phải nộp)11",-5793765139,-3515202626,-25157282117,103770322388,56822139119,267494798318,5966117899,-636614068102,-109513217075,-55598320773,48962027000,,133016616966,-14073624973,40754229011,689384172,100662702447,,20277800636,2196408420,-67234808,,103697442793,6594522363,-445392624,,-559264239,43434663521,619217164813,-129571205330,-46030341336,,460776373802,-2332625622,47232504846,6332927903931,-4704967910,-663883353,188016521904,491970447000,,-330174860250,1836017040,94416334843,39906583776,8885394308,-8910795129
"Tăng, giảm chi phí trả trước12",,-161107499,,-8944255000,1276063779,40371657217,734901783,80132236886,7823433434,-3868409441,3945174000,,7780315022,177315438,-35609834841,-395172760,-29202329,,-3711187949,,32657955,,-144524610758,-2769808406,9737779,,5163257580,-31096221926,2957632933,341673001,-148839494,,2000057772,-3996770,-3333360846,-23687734832,-833219432,230343218,-76178863188,150753587000,,-1881215136,-418765170,-23329514310,3044742108,2074197542,-1492917957
"Tăng, giảm chứng khoán kinh doanh13",,,,,,,,,,-10194969660,,,,,,-3165775808,,,,,,,,-377050452560,,,,,,,,,,,,,,,,,,,,,,,
Tiền lãi vay đã trả13,-1101681310,,-293719033,-9288999654,-12170424524,-139598505584,-301912180918,-17012609597,-41538887835,-1032350486,,,-51560933394,-6995012595,-20195509150,,-1530944103,,-3490569184,,-19721113,,-3733753747,-391504063555,,,-862010466,-2396336038,-45938366538,-119427474087,-3858860400,,-81939688921,,-5417321916,-2369994583628,-13343151,,-128462427343,-744869152000,,-60149107174,,-120423966245,-60087040561,-10818074451,-4912198518
Thuế thu nhập doanh nghiệp đã nộp14,,-161652014,-235104415,-35175234542,-5746305639,-561052975072,-20898304601,-12597040873,-350805835504,-24940545460,-50929629000,,-173871765201,-667952836,-28931544422,-2201728493,-1505543602,,,-3215099150,-234581084,,-11367836606,-17895534898,-700859570,,-19754995423,-14683460276,-69640321755,-50003965923,-4341419512,,-8228803633,,-4765118746,-453405335932,-2094137899,-807593295,-94994256001,-375164365000,,-8713694598,-356015786,-5512125491,-34010512326,,-8800000000
Tiền thu khác từ hoạt động kinh doanh15,200000,,,,,,56160000,,,,,,,,20000000,,,,-70806324518,,,,,,,,,,,,2454000,,,,,,230578000,,,,,20900000,,,2919220000,,
Tiền chi khác từ hoạt động kinh doanh16,-69280000,-1245440000,-13334967,-2793984920,-7243971785,-24173203738,-357869626,,,-2086920243,,,-24414698920,,-8471925191,,-192000000,,-142589508440,-1950101852,-200000000,,-732311574,-1200000000,-2384846086,,-2843942779,-11552400000,,-1078500000,-1185166111,,-261575000,,,,-1107300000,-465939837,-4543234244,-78741759000,,-1544484358,-74925936,,-19248601838,-929478958,-7735686898
Lưu chuyển tiền thuần từ hoạt động kinh doanh20,1213509803,-8825245490,-19952913012,428921080586,370460284196,4085219827531,-81588997158,-68435323628,459506332308,-55653369386,235944050000,,-796907915219,25502692080,197751092852,8506863261,73919991266,,216267565018,11025801604,1921260381,,-53827490461,378982165666,-12608353881,,134579903008,99128875204,-136892846988,-144270206156,-175708953849,,86073763174,-1494658519,85753498370,1151833148407,17602037232,4137901431,527101017395,-3647547639000,,-415108217929,10754811461,-61079748366,260367599514,51853473936,151022399359
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác21",-92000000,-27272727,,-3742726312,-1922005664,-793670943495,-35749274250,-588140000,-1290030392646,-105893968032,-44044331000,,-56915555433,-16228983974,-49215353027,-2677327946,-25834414181,,-96770733614,-9001902108,-35720000,,-43583323993,-24971305679,-6653673962,,,-23358041712,-5268913835,-26041574251,-4322433708,,,,-16594251977,-530403732009,-62727273,-2322690242,-104173760948,-100085258000,,-4502577940,-882076401,-1402312963,-131941308121,,-142430616998
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác22",27500000,2244692727,,1254554708,20422042,3557851305,27350908,,2171207042,194449915,2069982000,,25864114545,200000000,,6911069053,902727272,,4831818182,18636364,,,446881818,10722727273,25240050063,,111500000,,31000000,2636363636,511613561,,,,3939090907,55633635900,,,4661924515,,,,613097000,,1182410544,409439091,155909091
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác23",,,-4000000000,-214000000000,,-3254665611559,-2244070000000,-58320000000,,-287350279782,,,-10500000000,-7228105832,-37400000000,-97250000000,-11795000000,,,-2370000000,,,-20000000000,-1220918911365,-109900000000,,-40000000000,,-110000000000,-5900000000,-61965032014,,-908821462486,,-511200000000,-7664089157973,-77000000000,-8000000000,-1220000000000,-258827707000,,,-8500000000,-317243123288,-470000000000,,-90598733969
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác24",,,16500000000,103000000000,,2410182489313,1834872880967,87687591000,,497907797425,,,9000000000,15000000000,30000000000,80860000000,,,,700000000,,,160000000000,1717180657871,108900000000,,,,108000000000,,146930409789,,699045541749,,379310000000,6798133451154,54919342466,10000000000,671047661697,2482557000,,,6500000000,189000000000,510000000000,,77725444088
5. Tiền chi đầu tư góp vốn vào đơn vị khác25,,,,,,,,,,-8100000000,,,-484165000000,,,,-1421330420,,,,,,,-629369560000,,,,,,708963460,-20324856000,,-57622130000,,-140000000000,-1197250000000,,,-1062929891482,-600000000000,,,,,,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác26,,,,,,,,,,,,,,,,,,,6064535000,,,,,90990000000,,,,,70828000000,,,,,814227715,,339000000000,,,50000000000,,,,,,,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia27",241077,1457725607,348187480,24876035795,3398554927,159057658604,132280730082,3638889904,143294082798,43831672413,21365459000,,3884430685,1596240346,3137903528,2869070465,1718780842,,7675187975,951047397,18671327,,9627611597,278481894834,6448379680,,983879158,4375861975,2402047887,902010882,2750458614,,19538772113,559645,17334201860,324480476149,1364970597,259033240,127504369261,38284929000,,149161036,361377582,219550865550,31793890910,133232874,4315709016
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,,,,,-78992941827,,,,,,,,,,-49000000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11. Tiền chi khác cho hoat động đầu tư,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư30,-64258923,3675145607,12848187480,-88612135809,1496971305,-1475538555832,-312638312293,32418340904,-1223558044633,140589671939,-20608890000,,-512832010203,-6660849460,-53477449499,-9287188428,-36429236487,,-127199192457,-9702218347,-17048673,,106491169422,222115502934,24034755781,,-38904620842,-18982179737,65992134052,-27694236273,63580160242,,-247859278624,814787360,-267210959210,-1874495326779,-20778414210,-63657002,-1533889696957,-918145479000,,-4353416904,-1907601819,89905429299,-58965006667,542671965,-150832288772
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu31",,,,,,187549280000,,,4618000000,,,,1259158750000,,,,,,,,,,,23541799000,,,,,,,19807480000,,,,,1000000000,,,29910000,3183800024000,,,,,,,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-242000000,,,,,,,,,-4473280000,,,,,,,
3. Tiền thu từ đi vay33,29019459448,,,46706914524,676881385036,3899865353606,7909226541223,99954000000,3797550405961,82519993660,,,1338031587043,77381080394,12672047765,,54672894713,,387993511872,,945476500,,212370375974,3625000000000,,,43437457051,8866532823,123233424130,583442189316,224841804864,,2349294304156,,262560100575,9416895848867,,,10525660328450,4364973211000,,6289003648153,,443245000000,157473422290,530546795520,67341000000
4. Tiền chi trả nợ gốc vay34,-29572077907,,,-250379097264,-700336967980,-4286342914728,-6884837267976,-43824100000,-2459784537439,-79320000000,,,-1137256968113,-96661236239,-62108164622,,-93729917523,,-351293662887,,-945476500,,-200566721026,-4241443087767,,,-58210192345,-19963000000,-39917633780,-519902973644,-168953097163,,-2227976023468,,-214457833868,-2970490953646,-550000000,,-9873525321092,-3612612968000,,-5987378153297,,-415230293496,-240415819726,-555349293320,-31416630910
5. Tiền trả nợ gốc thuê tài chính35,,,,,,,-30002875444,,,,,,,-195555528,,,,,,,,,,,,,,,-6020732758,,,,,,,,,,,,,,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu 36",,-8773306375,-410639543,-61346472000,-16203803919,-1556399295983,-423874840,,-521479012000,-46772211000,-209110636000,,-354498043500,-3060000,-54186685358,,-1494852000,,-70004649000,-1800000000,-895375000,,-44882281250,-26358236000,-6125000000,,-89593783800,-27619945600,,,-22950833350,,-4003044530,,,-11000000,,-1501425000,-477783186330,,,-9536250000,,,-35342983200,,-35406795048
7. Tiền thu khác từ hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính40,-552618459,-8773306375,-410639543,-265018654740,-39659386863,-1755327577105,993962522963,56129900000,820904856522,-43572217340,-209110636000,,1105435325430,-19478771373,-103622802215,,-40551874810,,-33304800015,-1800000000,-895375000,,-33078626302,-619259524767,-6125000000,,-104366519094,-38716412777,77295057592,63539215672,52503354351,,117315236158,,48102266707,6447393895221,-550000000,-1501425000,174381731028,3931686987000,,292089244856,,28014706504,-118285380636,-24802497800,517574042
Lưu chuyển tiền thuần trong kỳ50,596632421,-13923406258,-7515365075,75290290037,332297868638,854353694594,599735213512,20112917276,56853144197,41364085213,6224524000,,-204304599992,-636928753,40650841138,-780325167,-3061120031,,55763572546,-476416743,1008836708,,19585052659,-18161856167,5301401900,,-8691236928,41430282690,6394344656,-108425226757,-59625439256,,-44470279292,-679871159,-133355194133,5724731716849,-3726376978,2572819429,-832406948534,-634006131000,,-127372389977,8847209642,56840387437,83117212211,27593648101,707684629
Tiền và tương đương tiền đầu kỳ60,74230717,50377343508,16713738714,124124145438,97331602058,1333592588129,1112379542714,87399007661,211781081549,16023233732,964683100000,,284172959342,10538291496,204095572047,18392223598,15428797705,,106200569241,22585852977,3094228807,,119887523608,83665344718,10093418295,,17646492150,48651413126,50881231598,148971684132,122643933023,,89844723148,1849385668,152936802760,841304457657,12503067885,6688701141,2185022243991,3729624705000,,149461474363,4080045608,50142629742,29409241198,5413288702,5911948981
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ61,,,,92482982,,91523594,-422441879,,644218465,133307,116902000,,45539444,,3925754364,-14717577,-36973946,,19177050,,,,,,,,-1860127,6980132,,,26602874,,,-2798139,,,-1,,58143522,,,7770939,,,,,
Tiền và tương đương tiền cuối kỳ (70 = 50 +60 + 61)70,670863138,36453937250,9198373639,199506918457,429629470696,2188037806317,1711692314347,107511924937,269278444211,57387452252,971024526000,,79913898794,9901362743,248672167549,17597180854,12330703728,,161983318837,22109436234,4103065515,,139472576267,65503488551,15394820195,,8953395095,90088675948,57275576254,40546457375,63045096641,,45374443856,1166716370,19581608627,6566036174506,8776690906,9261520570,1352673438979,3095618574000,,22096855325,12927255250,106983017179,112526453409,33006936803,6619633610
LƯU CHUYỂN TIỀN TỆ TRỰC TIẾPMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. Tiền thu từ bán hàng, cung cấp dịch vụ và doanh thu khác01",,,,,,,,,,,,101216760828,,,,,,76607761114,,,,12803834403,,,,386174972282,,,,,,604197223981,,,,,,,,,39125471359,,,,,,
2. Tiền chi trả cho người cung cấp hàng hoá và dịch vụ02,,,,,,,,,,,,-80943820029,,,,,,-48814584852,,,,-122770585265,,,,-200554742400,,,,,,-561036315021,,,,,,,,,-42110644655,,,,,,
3. Tiền chi trả cho người lao động03,,,,,,,,,,,,-14742442498,,,,,,-31541412753,,,,-2236474721,,,,-77079284959,,,,,,-19893338023,,,,,,,,,-713029000,,,,,,
4. Tiền chi trả lãi vay04,,,,,,,,,,,,-32905740,,,,,,-350361284,,,,,,,,-20968029000,,,,,,-6430764333,,,,,,,,,-129886196,,,,,,
5. Tiền chi nộp thuế thu nhập doanh nghiệp05,,,,,,,,,,,,-272275430,,,,,,-263448018,,,,,,,,-2082671192,,,,,,,,,,,,,,,-474649497,,,,,,
6. Tiền thu khác từ hoạt động kinh doanh06,,,,,,,,,,,,23250571,,,,,,7524403196,,,,123257424658,,,,16904062694,,,,,,1335989838,,,,,,,,,24334756435,,,,,,
7. Tiền chi khác cho hoạt động kinh doanh07,,,,,,,,,,,,-10267837710,,,,,,-15547202649,,,,-2888454461593,,,,-84128194389,,,,,,-15320875932,,,,,,,,,-12190888828,,,,,,
Lưu chuyển tiền thuần từ hoạt động kinh doanh20,,,,,,,,,,,,-5019270008,,,,,,-12384845246,,,,-2877400262518,,,,18266113036,,,,,,2851920510,,,,,,,,,7841129618,,,,,,
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác21",,,,,,,,,,,,-1221801820,,,,,,-3157624000,,,,,,,,-376300363636,,,,,,-36800000000,,,,,,,,,,,,,,,
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác22",,,,,,,,,,,,,,,,,,235113208,,,,,,,,133670270500,,,,,,,,,,,,,,,,,,,,,
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác23",,,,,,,,,,,,-39000000000,,,,,,-50000000,,,,,,,,-7000000000,,,,,,-6000000000,,,,,,,,,-26702143597,,,,,,
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác24",,,,,,,,,,,,28000000000,,,,,,,,,,170000000000,,,,7079590411,,,,,,29000000000,,,,,,,,,31499664136,,,,,,
5. Tiền chi đầu tư góp vốn vào đơn vị khác25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác26,,,,,,,,,,,,,,,,,,,,,,,,,,5375000000,,,,,,,,,,,,,,,,,,,,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia27",,,,,,,,,,,,178219479,,,,,,117885250,,,,173079387539,,,,624065907,,,,,,3534306561,,,,,,,,,1292189465,,,,,,
8. Tiền thu khác từ hoạt động đầu tư,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9. Tiền chi khác cho hoat động đầu tư,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư30,,,,,,,,,,,,-12043582341,,,,,,-2854625542,,,,343079387539,,,,-236551436818,,,,,,-10265693439,,,,,,,,,6089710004,,,,,,
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Tiền thu từ đi vay33,,,,,,,,,,,,3501571252,,,,,,31062974994,,,,2521850115155,,,,200000000000,,,,,,355370496128,,,,,,,,,4006108200,,,,,,
4. Tiền chi trả nợ gốc vay34,,,,,,,,,,,,,,,,,,-20567488086,,,,,,,,-21181590000,,,,,,-348003635009,,,,,,,,,-5743096842,,,,,,
5. Tiền trả nợ gốc thuê tài chính35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu36",,,,,,,,,,,,-2502910912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7. Tiền thu khác từ hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính40,,,,,,,,,,,,998660340,,,,,,10495486908,,,,2521850115155,,,,178818410000,,,,,,7366861119,,,,,,,,,-1736988642,,,,,,
Lưu chuyển tiền thuần trong kỳ (50=20+30+40)50,,,,,,,,,,,,-16064192009,,,,,,-4743983880,,,,-12470759824,,,,-39466913782,,,,,,-46911810,,,,,,,,,12193850980,,,,,,
Tiền và tương đương tiền đầu kỳ60,,,,,,,,,,,,20242474589,,,,,,5808540876,,,,13284243384,,,,143733547188,,,,,,4749779859,,,,,,,,,192337031,,,,,,
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ61,,,,,,,,,,,,1431978,,,,,,,,,,,,,,4068528163,,,,,,6485847,,,,,,,,,,,,,,,
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61)70,,,,,,,,,,,,4179714558,,,,,,1064556996,,,,813483560,,,,108335161569,,,,,,4709353896,,,,,,,,,12386188011,,,,,,
Kỳ/năm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
