Mã CK,DVW,DWC,DWS,DXG,DXL,DXP,DXS,DXV,DZM,E12,E29,EBS,ECI,ECO,EFI,EIC,EID,EIN,ELC,EME,EMS,EPC,EPH,EVE,EVG,FBC,FCC,FCM,FCN,FCS,FDC,FGL,FHN,FHS,FIC,FID,FIR,FIT,FMC,FOC,FOX,FPT,FRC
"Tăng, giảm chứng khoán kinh doanh13",,,,,,,,,,,,-1669300200,,9601465184,-2523243250,,276400,,-26638430,,,,,,,,,,,,,,,,,,,-10000000000,,,,,
Tiền lãi vay đã trả13,-209821000,-27176778213,-6720679291,-382916474728,,-2504974138,-98053583270,,,,-3229478245,-1355164694,-265370271,-2422604257,,,-2275243795,,-3093841935,-2585232254,,,,-11292688653,-70642674831,,,-2675954486,-204698075239,,,,-1106408910,,-35852923572,,-30937372176,-50683522971,-23038701201,,-341455833056,-607154747076,
Thuế thu nhập doanh nghiệp đã nộp14,-1404803516,-3050000000,-5712000000,-412793567661,,-15520045758,-108456973855,,,,-1379527124,-1165733238,-239520747,-3021812451,,-265909885,-20165361958,,-7405573679,,-15433028094,,-1313514584,-3784864819,-12346704071,,,-3278575395,-27365792458,,,,-1336280123,-14210342990,-11985820737,,-6253825892,-32830336716,-2879713875,-40798198475,-558228202276,-1209921507569,
Tiền thu khác từ hoạt động kinh doanh15,,,,,,96068245,,1700000000,,,,37500000,,,,,53000000,,,,,,53000000,,2377704248,,,,,,,,,18739259324,,,,,,,,,
Tiền chi khác từ hoạt động kinh doanh16,-2210613752,,-14369565090,-10356178608,,-3205516285,-7723530244,-1701200000,,,,-240698000,,,,-2017396880,-6774257400,,-3464326657,-255600408,-28532208499,,-4800998991,-1395617449,-934800000,,,-2484395791,-3370945253,,-1976467346,,-83603000,-32975362446,-11243947185,,,-4483467477,-49016431657,-34645800000,-248797837893,-408667711961,
Lưu chuyển tiền thuần từ hoạt động kinh doanh20,13296604038,210076051804,71920120445,-1388658285399,,-103780053976,218163289098,9395796849,-2408317837,,-73005391161,13177965192,-10042913542,-11323294650,-3960188636,-11340356205,51863920206,-449561456,140064704462,26279130544,105624996853,,-19848640917,68890605279,-657481718759,,,75626149874,-171028251263,,51122679473,,-18849536393,-17327975391,122553031608,21611176673,29653100743,124584856978,601441800089,78648210443,3825956276177,11703777188868,
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác21",-934354045,-55035268166,-22401477806,-70352919094,,-14379777171,-39515940188,-1246031407,,,,,,-10677398820,,-1559720344,-3534385545,-75297633,-26444208556,,-173689444,,-162343055,-2618840264,-15168755513,,,-779611955,-1016903576268,,-117714344195,,-2628568237,-8856535224,-21279255680,,-291998968,-467154030629,-114049204668,-98000000,-1032212944328,-3275312325702,
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác22",,46363636,,7999178644,,,8289974392,,,,,,,12454545455,,,468181818,555555556,249800000,,110311063,,,1430544445,,,,,80464913338,,500000,,225709091,,1917191977,,,603272728,202693603,,108064737,14227383215,
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác23",-33600000000,-3250000000,-3500000000,-176732024947,,-411640000000,-52449658232,-5500000000,,,-15797052055,-1000000000,-21000000000,-46630000000,-2937556164,-98800000000,-126681912362,,-175047500000,,-352119000000,,,-359332369509,-1405380000000,,,,-22298890419,,-33000000000,,,-568450000000,-362834000000,-3500000000,,-714250000000,-352243736925,-1487802444520,-22296225765331,-41956569113369,
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác24",23600000000,1000000000,,703929542096,,191686439347,86918675381,,,,13130000000,2000000000,42000000000,78071000000,4456208219,112870000000,305800000000,,128484700000,,312679687560,,5000000000,279313937241,1326238050000,,,20000000000,63781375452,,13000000000,,,642100000000,248880000000,1499999997,,1313529000000,526616999173,1389726904950,,36283758374630,
5. Tiền chi đầu tư góp vốn vào đơn vị khác25,,,,-732120863682,,,-121192692829,,,,,-910000000,,,,,,,-8458800000,-17000000000,,,,,,,,,-3100000000,,,,,,,,-200000000,-55200000000,,,,-1106193484800,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác26,,,,68272500000,,,975100000,,,,,,,,,,,,67689960000,,,,,,362250000000,,,-23700844049,13400000000,,,,,,7325735116,,1800000000,,,,19571348530419,48102486048,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia27",1350580326,216999096,739104802,84926211213,,15986958487,48216445552,982426457,,,412414430,2541266343,1355390358,1243987792,243438471,59103562862,10157991818,275021,11239108334,4881206164,3195010113,,162937809,24889899125,10704289489,,,1725254963,3237065403,,499694768,,795710666,26624496668,18181851557,175594,1335381,72075148856,27190723210,33102199807,538036540711,1530174506877,
8. Tăng giảm tiền gửi ngân hàng có kỳ hạn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9. Mua lại khoản góp vốn của cổ đông thiểu số trong công ty con,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10. Tiền thu khác từ hoạt động đầu tư,,,,,,,,,363491978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11. Tiền chi khác cho hoat động đầu tư,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư30,-9583773719,-57021905434,-25162373004,-114078375770,,-218346379337,-68758095924,-5763604950,363491978,,-2254637625,2631266343,22355390358,34462134427,1762090526,71613842518,186209875729,480532944,-2286940222,-12118793836,-36307680708,,5000594754,-56316828962,278643583976,,,-2755201041,-881419112494,,-137214149427,,-1607148480,91417961444,-107808477030,-1999824409,1309336413,149603390955,87717474393,-65071339763,-3218945573792,-8461812173101,
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu31",,,,1225924088000,,,6450000000,,,,,,,,,,,,10000000000,,,,,,180000000000,,,,629000000,,,,,,,,,,,,,163342989874,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Tiền thu từ đi vay33,,69732994996,77893746503,4051764956240,,235725460135,1861355120558,,3625750000,,89402727849,3663686115,,179686355483,,,121483603954,,192296678442,57152492371,,,,296880493381,741834891584,,,87252751978,3636816598933,,115000000000,,165010000000,,2455832029394,,184606161503,2361490599291,1201948315795,,15486593648206,30946282706201,
4. Tiền chi trả nợ gốc vay34,-1875000000,-98943521778,-108192450904,-2791589645284,,-143216224000,-1803952314650,,-2664772000,,-39899533765,-5991314115,-499546392,-161301678176,,,-124878455690,,-198680039432,-38088451860,,,,-310672123265,-207887502170,,,-188766931425,-2742096622137,,-5417439175,,-160810000000,,-2383124005004,,-220997766483,-2554217213650,-1122825549355,,-14849479719091,-30013226682923,
5. Tiền trả nợ gốc thuê tài chính35,,,,,,,,,,,,,,,,,,,,,,,,-20984923228,,,,,-55846316760,,,,,,-397833346,,,-23363397265,,,,-2305346865,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu 36",-4685823800,,-15550878000,-10352029493,,-29955066500,-3700500219,,,,-2362502925,-9212152900,,,,-61128067980,-21153000000,-10947900,-1005622330,,-20897581500,,-3250000000,,,,,,-15805803454,,,,-1212148500,-23124481600,-70475979292,,,,-151126778000,-36839515300,-1000656667100,-3291859792121,
7. Tiền thu khác từ hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,,,,,-181745989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính40,-6560823800,-29210526782,-45849582401,2475747369463,,62554169635,60152305689,,779232011,,47140691159,-11539780900,-499546392,18384677307,,-61128067980,-24547851736,-10947900,2611016680,19064040511,-20897581500,,-3250000000,-34776553112,713947389414,,,-101514179447,823696856582,,109582560825,,2987851500,-23124481600,1834211752,,-36391604980,-216090011624,-72004011560,-36839515300,-363542737985,-2197766125834,
Lưu chuyển tiền thuần trong kỳ50,-2847993481,123843619588,908165040,973010708294,,-259572263678,209557498863,3632191899,-1265593848,,-28119337627,4269450635,11812930424,41523517084,-2198098110,-854581667,213525944199,20023588,140388780920,33224377219,48419734645,,-18098046163,-22202776795,335109254631,,,-28643230614,-228750507175,,23491090871,,-17468833373,50965504453,16578766330,19611352264,-5429167824,58098236309,617155262922,-23262644620,243467964400,1044198889933,
Tiền và tương đương tiền đầu kỳ60,18152141365,16339585484,43512582978,276068570931,,287772136417,206528873542,10434231045,1409443267,,46271503427,9804227878,904850549,10938360569,2704166268,4671932892,222437786607,258499889,186196786544,14707817906,57720534258,,21467715781,40858611052,129089188082,,,60276416254,701731891550,,12098716525,,34626969237,47026925160,206505394155,1136006529,11287141956,43305574290,451603648884,73235164925,423984252859,8279156683221,
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ61,,,,,,5581591,,,,,,,,-31056602,,109874,,,43981817,,192205019,,,844592291,,,,,5325653,,1001998,,4440205,,58826201,,,32645687,8701670572,3277917322,11825096401,-7915134270,
Tiền và tương đương tiền cuối kỳ (70 = 50 +60 + 61)70,15304147884,140183205072,44420748018,1249079279225,,28205454330,416086372405,14066422944,143849419,,18152165800,14073678513,12717780973,52430821051,506068158,3817461099,435963730806,278523477,326629549281,47932195125,106332473922,,3369669618,19500426548,464198442713,,,31633185640,472986710028,,35590809394,,17162576069,97992429613,223142986686,20747358793,5857974132,101436456286,1077460582378,53250437627,679277313660,9315440438884,
LƯU CHUYỂN TIỀN TỆ TRỰC TIẾPMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I. Lưu chuyển tiền từ hoạt động kinh doanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. Tiền thu từ bán hàng, cung cấp dịch vụ và doanh thu khác01",,,,,20244328594,,,,,57002050337,,,,,,,,,,,,38028395568,,,,1100278024665,10408345197,,,445968015503,,31390823061,,,,,,,,,,,113947272906
2. Tiền chi trả cho người cung cấp hàng hoá và dịch vụ02,,,,,-17929417181,,,,,-43429993264,,,,,,,,,,,,-16862447339,,,,-766512817711,-2339103244,,,-390929870074,,-1344310167,,,,,,,,,,,-68340379716
3. Tiền chi trả cho người lao động03,,,,,-2619731751,,,,,-7112641349,,,,,,,,,,,,-10920030906,,,,-218075348076,-2216102900,,,-9573962665,,-2373191112,,,,,,,,,,,-26934110361
4. Tiền chi trả lãi vay04,,,,,,,,,,-2964995622,,,,,,,,,,,,-1467715492,,,,,,,,,,-9190713950,,,,,,,,,,,-921617746
5. Tiền chi nộp thuế thu nhập doanh nghiệp05,,,,,-145317821,,,,,-72665262,,,,,,,,,,,,,,,,-20099809599,,,,,,,,,,,,,,,,,-181696380
6. Tiền thu khác từ hoạt động kinh doanh06,,,,,3018360861,,,,,3408552463,,,,,,,,,,,,1191890815,,,,24447528993,617028910,,,6182828736,,8623432708,,,,,,,,,,,12735895082
7. Tiền chi khác cho hoạt động kinh doanh07,,,,,-6545123515,,,,,-8911023977,,,,,,,,,,,,-1557970563,,,,-59701161419,-5941953742,,,-58618032762,,-6922988444,,,,,,,,,,,-17608896536
Lưu chuyển tiền thuần từ hoạt động kinh doanh20,,,,,-3976900813,,,,,-2080716674,,,,,,,,,,,,8412122083,,,,60336416853,528214221,,,-6971021262,,20183052096,,,,,,,,,,,12696467249
II. Lưu chuyển tiền từ hoạt động đầu tư,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. Tiền chi để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác21",,,,,-25000000,,,,,,,,,,,,,,,,,-4207823869,,,,-3330719715,,,,,,-6446533138,,,,,,,,,,,-587499969
"2. Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác22",,,,,,,,,,,,,,,,,,,,,,1767770000,,,,,,,,60498946,,,,,,,,,,,,,
"3. Tiền chi cho vay, mua các công cụ nợ của đơn vị khác23",,,,,-3600000000,,,,,,,,,,,,,,,,,,,,,-30000000000,-8760000000,,,,,,,,,,,,,,,,-13000000000
"4. Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác24",,,,,2569253000,,,,,,,,,,,,,,,,,14375102,,,,60000000000,8503000000,,,,,,,,,,,,,,,,58000000000
5. Tiền chi đầu tư góp vốn vào đơn vị khác25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6. Tiền thu hồi đầu tư góp vốn vào đơn vị khác26,,,,,16276691592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7. Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia27",,,,,1522273938,,,,,100171009,,,,,,,,,,,,1239783,,,,2788698442,307223562,,,22607486,,116499911,,,,,,,,,,,5621271028
8. Tiền thu khác từ hoạt động đầu tư,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9. Tiền chi khác cho hoat động đầu tư,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lưu chuyển tiền thuần từ hoạt động đầu tư30,,,,,16743218530,,,,,100171009,,,,,,,,,,,,-2424438984,,,,29457978727,50223562,,,83106432,,-6330033227,,,,,,,,,,,50033771059
III. Lưu chuyển tiền từ hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1. Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"2. Tiền chi trả vốn góp cho các chủ sở hữu, mua lại cổ phiếu của doanh nghiệp đã phát hành32",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3. Tiền thu từ đi vay33,,,,,,,,,,74573595155,,,,,,,,,,,,10700000000,,,,,,,,,,18614913000,,,,,,,,,,,90310154666
4. Tiền chi trả nợ gốc vay34,,,,,,,,,,-77052676376,,,,,,,,,,,,-16220000000,,,,,,,,,,-28839913000,,,,,,,,,,,-75937396513
5. Tiền trả nợ gốc thuê tài chính35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"6. Cổ tức, lợi nhuận đã trả cho chủ sở hữu36",,,,,-118750000,,,,,,,,,,,,,,,,,,,,,-73433800000,,,,,,,,,,,,,,,,,-8550000
7. Tiền thu khác từ hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8. Tiền chi khác cho hoạt động tài chính,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lưu chuyển tiền thuần từ hoạt động tài chính40,,,,,-118750000,,,,,-2479081221,,,,,,,,,,,,-5520000000,,,,-73433800000,,,,,,-10225000000,,,,,,,,,,,14364208153
Lưu chuyển tiền thuần trong kỳ (50=20+30+40)50,,,,,12647567717,,,,,-4459626886,,,,,,,,,,,,467683099,,,,16360595580,578437783,,,-6887914830,,3628018869,,,,,,,,,,,77094446461
Tiền và tương đương tiền đầu kỳ60,,,,,13419162771,,,,,10530024358,,,,,,,,,,,,290714441,,,,110178057560,2254532324,,,20106835374,,676605283,,,,,,,,,,,30269852597
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ61,,,,,,,,,,,,,,,,,,,,,,325795,,,,339327850,,,,34440,,,,,,,,,,,,,2150829340
Tiền và tương đương tiền cuối kỳ (70 = 50+60+61)70,,,,,26066730488,,,,,6070397472,,,,,,,,,,,,758723335,,,,126877980990,2832970107,,,13218954984,,4304624152,,,,,,,,,,,109515128398
Kỳ/năm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
